Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,267.911,328.225,240.167,36.3518,460.107,227.484,-122.913,348.179,238.47,5.48037,204.618,215.261,267.294,346.602,132.822,213.278,451.627,164.713,-53.115,465.683,160.264,-115.827,349.179,144.392,127.695,466.606,503.023,2.90547,471.963,551.112,-94.7161,460.737,487.033,70.1356,402.106,576.608,76.0001,262.245,622.16,72.8439,194.208,496.361,21.5946,183.911,382.028,118.751,185.17,379.477,71.9086,482.364,411.424,169.205,397.805,778.346,81.1147,493.843,835.692,-8.92441,396.839,783.203,58.6304,288.24,752.315,75.2142,334.073,868.09
21,0,267.93,328.248,240.173,36.3575,460.109,227.494,-122.914,348.19,238.485,5.49576,204.609,215.239,267.287,346.613,132.86,213.281,451.632,164.722,-53.1092,465.674,160.274,-115.825,349.156,144.382,127.708,466.608,503.017,2.90887,471.968,551.112,-94.6879,460.699,487.003,70.1446,402.107,576.601,76.003,262.251,622.169,72.8449,194.22,496.37,21.5892,183.914,382.017,118.737,185.154,379.506,71.9201,482.366,411.429,169.207,397.801,778.359,81.1105,493.829,835.71,-8.93304,396.83,783.224,58.6282,288.246,752.306,75.219,334.064,868.095
22,0,267.927,328.247,240.188,36.3481,460.076,227.477,-122.916,348.198,238.491,5.49468,204.607,215.276,267.289,346.605,132.837,213.27,451.608,164.698,-53.1148,465.668,160.279,-116.175,350.305,145.062,127.71,466.602,503.011,2.91344,471.967,551.112,-94.6881,460.702,487.004,70.1473,402.102,576.588,76.0117,262.258,622.171,72.8417,194.22,496.385,21.5819,183.91,382.046,118.722,185.152,379.563,71.9095,482.363,411.422,169.201,397.796,778.36,81.1056,493.813,835.729,-8.93893,396.83,783.225,58.6254,288.235,752.334,75.2217,334.049,868.1
23,0,267.932,328.246,240.176,36.3469,460.091,227.487,-122.924,348.183,238.492,5.49954,204.604,215.261,267.228,345.404,130.019,213.27,451.605,164.694,-53.116,465.669,160.261,-116.175,350.295,145.055,127.713,466.602,502.997,2.91961,471.966,551.103,-94.713,460.752,487.042,70.1439,402.116,576.587,76.0102,262.261,622.169,72.8386,194.218,496.385,21.5913,183.911,382.027,118.724,185.152,379.559,71.907,482.37,411.412,169.21,397.798,778.368,81.1036,493.804,835.736,-8.94302,396.826,783.238,58.6324,288.23,752.302,75.2244,334.033,868.094
24,0,267.933,328.219,240.149,36.3453,460.091,227.48,-122.918,348.18,238.482,5.48865,204.622,215.198,267.405,346.536,132.53,213.267,451.644,164.731,-53.1163,465.665,160.274,-116.186,350.289,145.047,127.72,466.592,502.989,2.92541,471.961,551.094,-94.6918,460.721,487.005,70.1524,402.116,576.577,76.015,262.259,622.161,72.8384,194.215,496.375,21.5843,183.909,382.002,118.731,185.154,379.472,71.9165,482.37,411.409,169.22,397.797,778.37,81.0972,493.795,835.74,-8.95819,396.824,783.232,58.6392,288.234,752.263,75.2261,334.021,868.09
25,0,267.924,328.231,240.165,36.3437,460.103,227.498,-122.915,348.184,238.489,5.49701,204.624,215.19,267.4,346.554,132.559,213.268,451.642,164.722,-53.1188,465.68,160.283,-116.17,350.309,145.053,127.72,466.59,502.994,2.93248,471.953,551.092,-94.6735,460.695,486.983,70.1623,402.104,576.571,76.0133,262.253,622.161,72.8446,194.207,496.357,21.5845,183.908,381.999,118.729,185.15,379.483,71.9172,482.371,411.415,169.21,397.8,778.375,81.0866,493.786,835.755,-8.93838,396.789,783.245,58.6453,288.226,752.269,75.2249,334.008,868.091
26,0,267.901,328.233,240.165,36.3434,460.114,227.51,-122.909,348.177,238.475,5.48633,204.607,215.232,267.39,346.532,132.526,213.265,451.662,164.727,-53.118,465.701,160.291,-115.816,349.163,144.366,127.72,466.574,502.986,2.93056,471.944,551.086,-94.6734,460.688,486.979,70.1591,402.091,576.553,76.0212,262.233,622.154,72.8504,194.195,496.339,21.5915,183.884,382.012,118.728,185.111,379.515,71.9138,482.363,411.405,169.192,397.791,778.365,81.0737,493.779,835.747,-8.94949,396.792,783.23,58.6522,288.204,752.278,75.2242,334,868.082
27,0,267.893,328.228,240.165,36.3433,460.114,227.511,-122.922,348.191,238.474,5.47226,204.617,215.219,267.394,346.561,132.545,213.26,451.674,164.747,-53.1238,465.695,160.293,-116.185,350.322,145.036,127.724,466.559,502.985,2.93203,471.922,551.083,-94.6699,460.671,486.975,70.168,402.058,576.539,76.0207,262.215,622.139,72.8488,194.186,496.31,21.5897,183.894,381.97,118.745,185.13,379.439,71.9184,482.37,411.417,169.181,397.789,778.362,81.0645,493.778,835.739,-8.96573,396.786,783.221,58.6625,288.201,752.255,75.2182,333.997,868.08
28,0,267.898,328.247,240.165,36.3374,460.129,227.515,-122.921,348.195,238.476,5.4781,204.627,215.183,267.378,346.576,132.604,213.251,451.674,164.744,-53.1162,465.713,160.297,-116.184,350.335,145.047,127.728,466.537,502.989,2.93511,471.897,551.085,-94.6653,460.652,486.978,70.1725,402.025,576.539,76.0191,262.186,622.145,72.8596,194.168,496.271,21.5976,183.883,381.932,118.743,185.122,379.409,71.9403,482.365,411.433,169.187,397.787,778.365,81.0604,493.769,835.729,-8.97733,396.777,783.207,58.6649,288.194,752.244,75.215,333.992,868.081
29,0,267.884,328.231,240.145,36.3332,460.124,227.513,-122.913,348.187,238.463,5.45704,204.623,215.218,267.368,346.586,132.615,213.252,451.669,164.734,-53.1308,465.706,160.296,-116.191,350.338,145.045,127.734,466.517,503.001,2.93737,471.869,551.083,-94.6603,460.639,486.978,70.1776,402.007,576.524,76.0235,262.157,622.131,72.8522,194.143,496.257,21.5852,183.874,381.899,118.746,185.112,379.411,71.9437,482.36,411.437,169.177,397.768,778.355,81.0526,493.762,835.715,-8.96856,396.748,783.207,58.6697,288.172,752.255,75.2096,333.983,868.085
30,0,267.896,328.245,240.155,36.3334,460.126,227.52,-122.924,348.202,238.482,5.45992,204.62,215.211,267.356,346.589,132.654,213.247,451.67,164.733,-53.1352,465.709,160.298,-116.19,350.325,145.043,127.741,466.493,503.007,2.94409,471.844,551.091,-94.6584,460.619,486.979,70.1732,402.002,576.536,76.0171,262.137,622.116,72.8439,194.125,496.217,21.5902,183.863,381.869,118.739,185.098,379.381,71.9524,482.344,411.448,169.18,397.754,778.351,81.0522,493.765,835.7,-8.9697,396.744,783.201,58.6662,288.159,752.264,75.2065,333.988,868.083
31,0,267.914,328.233,240.147,36.3435,460.133,227.52,-122.92,348.18,238.476,5.47488,204.624,215.191,267.35,346.618,132.697,213.253,451.677,164.735,-53.1329,465.699,160.302,-115.857,349.181,144.388,127.754,466.465,503.012,2.95128,471.818,551.087,-94.6828,460.648,487.041,70.1755,402.003,576.553,76.0103,262.105,622.122,72.839,194.113,496.207,21.591,183.857,381.855,118.734,185.1,379.352,71.9834,482.313,411.445,169.191,397.735,778.349,81.0645,493.765,835.689,-8.9737,396.741,783.205,58.6581,288.155,752.286,75.2097,333.995,868.099
32,0,267.917,328.242,240.15,36.3386,460.119,227.507,-122.917,348.185,238.49,5.46484,204.611,215.202,267.357,346.634,132.746,213.254,451.67,164.735,-53.1314,465.688,160.292,-116.187,350.318,145.068,127.758,466.445,503.02,2.95806,471.801,551.094,-94.69,460.649,487.065,70.1913,401.985,576.557,76.0045,262.086,622.126,72.842,194.089,496.184,21.5872,183.836,381.835,118.724,185.063,379.349,71.9905,482.273,411.451,169.197,397.715,778.35,81.0747,493.765,835.669,-8.97163,396.751,783.2,58.6528,288.134,752.313,75.2162,334.002,868.109
33,0,267.921,328.255,240.161,36.3368,460.108,227.509,-122.923,348.182,238.504,5.46694,204.604,215.216,267.334,346.643,132.788,213.248,451.657,164.72,-53.1363,465.686,160.3,-116.192,350.31,145.065,127.761,466.427,503.023,2.96011,471.788,551.096,-94.6939,460.648,487.074,70.1877,401.955,576.545,76.0099,262.07,622.12,72.8421,194.069,496.182,21.581,183.834,381.841,118.72,185.04,379.375,71.9752,482.253,411.449,169.199,397.695,778.342,81.0829,493.762,835.659,-8.96702,396.745,783.197,58.6539,288.121,752.336,75.216,334.005,868.117
34,0,267.91,328.216,240.143,36.3327,460.074,227.499,-122.922,348.172,238.504,5.46762,204.602,215.256,267.322,346.625,132.79,213.253,451.641,164.719,-53.1429,465.677,160.29,-115.866,349.143,144.381,127.76,466.399,503.025,2.96508,471.774,551.11,-94.6408,460.571,487.013,70.193,401.938,576.554,76.0172,262.056,622.131,72.8399,194.061,496.203,21.5772,183.82,381.889,118.715,185.026,379.42,71.9564,482.255,411.456,169.199,397.687,778.351,81.0834,493.757,835.656,-8.97205,396.737,783.204,58.6533,288.112,752.363,75.215,334,868.129
35,0,267.909,328.222,240.167,36.3345,460.091,227.528,-122.917,348.17,238.509,5.46682,204.581,215.193,267.304,346.643,132.848,213.253,451.641,164.736,-53.1339,465.676,160.304,-115.854,349.138,144.389,127.77,466.395,503.031,2.97908,471.776,551.115,-94.627,460.572,487.024,70.2019,401.958,576.563,76.0255,262.042,622.112,72.8442,194.053,496.196,21.5675,183.808,381.854,118.703,185.01,379.391,71.956,482.28,411.477,169.203,397.679,778.347,81.0872,493.748,835.653,-8.96078,396.727,783.202,58.6541,288.102,752.34,75.2157,333.993,868.125
36,0,267.866,328.171,240.146,36.3307,460.076,227.53,-122.926,348.16,238.501,5.45665,204.577,215.168,267.285,346.602,132.827,213.245,451.626,164.736,-53.13,465.673,160.309,-115.85,349.134,144.364,127.777,466.391,503.021,2.98344,471.778,551.111,-94.6689,460.635,487.09,70.1992,402.004,576.559,76.035,262.033,622.091,72.8386,194.05,496.194,21.5508,183.798,381.858,118.678,184.981,379.425,71.9624,482.276,411.475,169.201,397.67,778.349,81.0826,493.738,835.66,-8.95391,396.703,783.205,58.6621,288.101,752.329,75.2124,333.98,868.128
37,0,267.854,328.183,240.18,36.3159,460.079,227.54,-122.937,348.138,238.479,5.45176,204.577,215.205,267.254,346.583,132.88,213.24,451.616,164.752,-53.1385,465.669,160.306,-116.218,350.269,145.024,127.769,466.371,502.989,2.9825,471.777,551.104,-94.691,460.685,487.121,70.1944,402.049,576.561,76.0352,262.03,622.114,72.8311,194.052,496.225,21.5394,183.788,381.909,118.67,184.981,379.458,71.9523,482.236,411.438,169.203,397.665,778.365,81.0782,493.73,835.684,-8.94807,396.679,783.222,58.6817,288.09,752.358,75.207,333.963,868.143
38,0,267.861,328.145,240.169,36.3267,460.068,227.529,-122.935,348.165,238.485,5.44587,204.566,215.184,267.251,346.576,132.877,213.253,451.592,164.751,-53.1317,465.668,160.304,-116.208,350.287,145.041,127.78,466.371,502.956,2.99306,471.779,551.071,-94.6233,460.583,486.993,70.2016,402.099,576.555,76.0366,262.036,622.106,72.8271,194.042,496.193,21.5371,183.773,381.902,118.661,184.957,379.451,71.9599,482.203,411.388,169.218,397.666,778.37,81.088,493.712,835.694,-8.93582,396.681,783.224,58.6941,288.086,752.327,75.2288,333.949,868.134
