Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,266.85,328.161,240.586,36.0224,460.467,222.487,-123.872,350.755,238.041,4.04209,205.561,221.638,265.168,332.054,131.361,212.93,448.983,160.64,-53.3909,464.152,155.373,-116.287,349.191,143.3,128.806,488.825,485.266,4.01133,500.468,532.776,-93.6093,484.416,470.219,72.0993,431.303,565.448,76.2313,299.89,626.339,70.3142,218.434,505.937,18.6814,196.894,394.315,115.732,195.839,392.363,72.6371,494.877,392.262,175.914,433.026,769.317,91.8145,531.221,828.629,-1.74199,436.061,779.078,62.1765,326.055,746.617,83.002,371.836,861.888
21,0,266.872,328.188,240.603,36.0385,460.479,222.469,-123.862,350.793,238.055,4.03745,205.569,221.648,265.193,332.059,131.391,212.942,449.001,160.645,-53.3782,464.176,155.352,-116.29,349.198,143.313,128.824,488.823,485.279,4.0183,500.464,532.786,-93.6033,484.411,470.234,72.117,431.289,565.452,76.2351,299.887,626.342,70.3159,218.437,505.93,18.6831,196.894,394.309,115.739,195.845,392.346,72.654,494.865,392.272,175.931,433.022,769.311,91.8428,531.214,828.628,-1.73123,436.061,779.081,62.1826,326.052,746.616,83.0222,371.834,861.888
22,0,266.879,328.141,240.587,36.0448,460.482,222.445,-123.87,350.827,238.073,4.03104,205.581,221.676,265.221,332.064,131.394,212.949,448.987,160.618,-53.3595,464.156,155.308,-116.281,349.19,143.307,128.833,488.815,485.28,4.02523,500.454,532.798,-93.6005,484.401,470.252,72.1097,431.281,565.468,76.2372,299.888,626.354,70.3236,218.435,505.932,18.6847,196.896,394.3,115.728,195.842,392.359,72.6711,494.858,392.283,175.948,433.013,769.311,91.8638,531.204,828.628,-1.72027,436.049,779.093,62.1887,326.046,746.621,83.0421,371.819,861.894
23,0,266.921,328.16,240.593,36.049,460.477,222.408,-123.879,350.847,238.086,4.04269,205.589,221.665,265.257,332.035,131.382,212.949,448.975,160.598,-53.3503,464.146,155.28,-116.276,349.189,143.305,128.843,488.799,485.284,4.03046,500.447,532.813,-93.5959,484.389,470.268,72.1159,431.259,565.46,76.2526,299.886,626.338,70.333,218.432,505.947,18.6796,196.893,394.316,115.736,195.836,392.373,72.6612,494.852,392.278,175.962,432.997,769.312,91.8824,531.189,828.623,-1.70985,436.038,779.099,62.191,326.041,746.62,83.0578,371.804,861.892
24,0,266.919,328.154,240.576,36.0461,460.505,222.402,-123.884,350.881,238.089,4.04124,205.592,221.667,265.27,332.05,131.367,212.94,448.987,160.574,-53.3593,464.152,155.264,-116.28,349.212,143.327,128.837,488.807,485.29,4.03362,500.449,532.824,-93.5952,484.393,470.278,72.1203,431.223,565.455,76.257,299.884,626.338,70.3366,218.429,505.955,18.6822,196.903,394.305,115.734,195.851,392.35,72.6634,494.859,392.281,175.965,432.99,769.313,91.8915,531.18,828.623,-1.70254,436.034,779.095,62.1883,326.032,746.616,83.0604,371.787,861.885
25,0,266.889,328.18,240.6,36.0308,460.549,222.411,-123.88,350.902,238.098,4.03897,205.607,221.715,265.21,332.055,131.357,212.945,448.988,160.561,-53.3812,464.154,155.282,-116.28,349.219,143.319,128.832,488.816,485.303,4.03103,500.456,532.835,-93.6034,484.397,470.304,72.1222,431.197,565.453,76.2493,299.881,626.347,70.329,218.426,505.958,18.6849,196.91,394.317,115.728,195.843,392.371,72.6669,494.875,392.3,175.951,432.972,769.312,91.8829,531.164,828.633,-1.70323,436.031,779.097,62.1851,326.034,746.615,83.054,371.773,861.885
26,0,266.875,328.2,240.577,36.025,460.59,222.393,-123.879,350.926,238.087,4.04533,205.617,221.721,265.187,332.086,131.364,212.939,449,160.555,-53.3892,464.19,155.275,-116.29,349.227,143.306,128.829,488.832,485.298,4.02832,500.465,532.848,-93.6029,484.403,470.305,72.1297,431.206,565.448,76.2546,299.882,626.349,70.3331,218.432,505.958,18.6821,196.906,394.32,115.729,195.857,392.378,72.6516,494.876,392.304,175.943,432.974,769.306,91.8807,531.155,828.634,-1.70367,436.032,779.095,62.1779,326.027,746.614,83.0463,371.754,861.873
27,0,266.879,328.189,240.559,36.0214,460.623,222.364,-123.888,350.958,238.086,4.04538,205.634,221.69,265.195,332.104,131.356,212.93,449.005,160.531,-53.3891,464.204,155.249,-116.286,349.249,143.326,128.824,488.837,485.305,4.02163,500.462,532.845,-93.6109,484.393,470.311,72.134,431.189,565.451,76.2574,299.882,626.348,70.3464,218.435,505.966,18.6884,196.904,394.342,115.743,195.861,392.373,72.662,494.865,392.311,175.941,432.967,769.309,91.8788,531.142,828.642,-1.70896,436.023,779.099,62.1719,326.023,746.606,83.0413,371.738,861.87
28,0,266.872,328.217,240.572,36.028,460.648,222.348,-123.895,350.988,238.089,4.03774,205.643,221.718,265.208,332.122,131.357,212.934,449.022,160.528,-53.3813,464.218,155.227,-116.291,349.245,143.32,128.819,488.831,485.305,4.01351,500.448,532.849,-93.6139,484.38,470.312,72.1248,431.203,565.452,76.2577,299.889,626.356,70.3645,218.443,505.983,18.7005,196.909,394.354,115.767,195.868,392.362,72.6673,494.831,392.287,175.936,432.959,769.312,91.8745,531.132,828.656,-1.7145,436.011,779.109,62.1609,326.022,746.606,83.0358,371.719,861.868
29,0,266.85,328.232,240.566,36.027,460.685,222.312,-123.89,351.009,238.084,4.03628,205.654,221.684,265.19,332.12,131.362,212.934,449.023,160.505,-53.3829,464.225,155.2,-116.292,349.253,143.321,128.807,488.842,485.291,4.00083,500.447,532.833,-93.6288,484.375,470.299,72.1065,431.217,565.45,76.2673,299.893,626.35,70.3777,218.445,505.965,18.7188,196.898,394.352,115.771,195.869,392.376,72.6545,494.823,392.282,175.924,432.954,769.313,91.8664,531.114,828.662,-1.71965,436.005,779.101,62.1589,326.022,746.579,83.0264,371.702,861.858
30,0,266.862,328.237,240.556,36.0242,460.688,222.279,-123.89,351.026,238.077,4.03711,205.671,221.727,265.204,332.132,131.382,212.931,449.024,160.482,-53.3963,464.236,155.186,-116.297,349.265,143.317,128.792,488.847,485.28,3.98991,500.452,532.823,-93.6434,484.371,470.288,72.0941,431.19,565.439,76.2593,299.9,626.358,70.3823,218.446,505.97,18.7236,196.896,394.358,115.783,195.873,392.382,72.6208,494.822,392.266,175.911,432.952,769.31,91.8478,531.109,828.668,-1.73449,436.003,779.092,62.1457,326.025,746.566,83.0107,371.683,861.847
31,0,266.862,328.257,240.575,36.0316,460.716,222.262,-123.891,351.04,238.074,4.03633,205.695,221.755,265.199,332.149,131.407,212.931,449.039,160.484,-53.3903,464.248,155.167,-116.287,349.269,143.338,128.785,488.854,485.284,3.98273,500.46,532.821,-93.6451,484.377,470.294,72.0894,431.195,565.449,76.2671,299.907,626.336,70.3811,218.454,505.972,18.722,196.906,394.346,115.798,195.885,392.37,72.6009,494.863,392.279,175.897,432.956,769.313,91.8287,531.108,828.678,-1.74567,436,779.082,62.1364,326.031,746.554,82.9912,371.678,861.84
32,0,266.833,328.312,240.591,36.0239,460.754,222.256,-123.88,351.063,238.081,4.02856,205.7,221.791,265.191,332.142,131.374,212.94,449.06,160.474,-53.3961,464.265,155.171,-116.294,349.296,143.342,128.774,488.873,485.295,3.97709,500.471,532.828,-93.6573,484.389,470.295,72.0815,431.219,565.431,76.2599,299.906,626.335,70.3741,218.461,505.978,18.7216,196.914,394.35,115.785,195.89,392.357,72.5958,494.883,392.278,175.876,432.964,769.317,91.8104,531.11,828.685,-1.75974,436.006,779.077,62.1315,326.033,746.543,82.9759,371.68,861.831
33,0,266.839,328.327,240.585,36.0215,460.787,222.254,-123.884,351.055,238.057,4.03729,205.719,221.84,265.201,332.145,131.406,212.941,449.056,160.463,-53.3949,464.286,155.16,-116.289,349.287,143.321,128.765,488.864,485.275,3.96951,500.475,532.816,-93.6637,484.394,470.292,72.0641,431.258,565.446,76.2622,299.919,626.337,70.3679,218.471,505.958,18.7085,196.916,394.356,115.78,195.895,392.366,72.581,494.875,392.284,175.86,432.972,769.321,91.7846,531.119,828.688,-1.76711,436.008,779.076,62.1305,326.039,746.557,82.9625,371.687,861.832
34,0,266.856,328.336,240.585,36.0344,460.779,222.208,-123.886,351.07,238.058,4.03412,205.735,221.873,265.208,332.164,131.416,212.938,449.057,160.441,-53.3785,464.283,155.123,-116.289,349.286,143.325,128.754,488.871,485.266,3.96348,500.477,532.805,-93.6699,484.393,470.283,72.0458,431.32,565.459,76.2543,299.933,626.348,70.3723,218.486,505.962,18.7158,196.921,394.357,115.78,195.903,392.367,72.5725,494.843,392.262,175.855,432.991,769.316,91.7675,531.133,828.691,-1.77992,436.013,779.077,62.1298,326.052,746.552,82.9643,371.695,861.828
35,0,266.87,328.311,240.593,36.0493,460.785,222.194,-123.886,351.088,238.069,4.04564,205.748,221.823,265.248,332.147,131.432,212.943,449.067,160.424,-53.3662,464.28,155.091,-116.265,349.289,143.358,128.753,488.872,485.261,3.95508,500.478,532.799,-93.6762,484.389,470.283,72.0314,431.369,565.479,76.2455,299.944,626.376,70.3759,218.495,505.971,18.7109,196.915,394.362,115.77,195.906,392.395,72.5673,494.816,392.241,175.854,433.017,769.32,91.7616,531.144,828.698,-1.78995,436.022,779.089,62.1297,326.066,746.534,82.9678,371.715,861.833
36,0,266.876,328.334,240.579,36.0476,460.816,222.177,-123.881,351.096,238.055,4.03399,205.759,221.887,265.236,332.145,131.417,212.958,449.076,160.419,-53.3554,464.3,155.085,-116.262,349.299,143.353,128.737,488.874,485.249,3.93849,500.48,532.79,-93.6937,484.382,470.283,72.0229,431.384,565.476,76.2309,299.954,626.374,70.3782,218.505,505.984,18.7105,196.919,394.363,115.778,195.916,392.395,72.5477,494.812,392.217,175.854,433.047,769.313,91.7486,531.162,828.693,-1.80012,436.031,779.096,62.1289,326.072,746.538,82.9704,371.736,861.834
37,0,266.853,328.361,240.598,36.0324,460.852,222.175,-123.894,351.111,238.062,4.03822,205.774,221.907,265.208,332.155,131.414,212.947,449.079,160.395,-53.3739,464.294,155.06,-116.265,349.3,143.338,128.706,488.884,485.25,3.90736,500.473,532.793,-93.7219,484.376,470.287,71.9853,431.382,565.481,76.2182,299.964,626.386,70.3766,218.507,505.991,18.7143,196.913,394.397,115.777,195.92,392.406,72.5139,494.829,392.235,175.832,433.069,769.293,91.7332,531.19,828.683,-1.80496,436.042,779.097,62.1258,326.084,746.544,82.9755,371.762,861.836
